2182903,厦门闽南大酒店,四星级/高档型,￥286,438,221,160,37,5,11
2182891,厦门海景千禧大酒店,五星级/豪华型,￥910,600,297,220,55,12,10
2515408,鼓浪屿琴海庄园海景酒店,三星级/舒适型,￥358,452,169,131,68,17,13
14169970,罗马假日海景度假别墅(环岛路),经济型,￥229,158,99,29,17,2,11
5658511,厦门乐雅无垠酒店,四星级/高档型,￥730,248,178,49,11,3,7
3673915,汉庭(厦门中山路店),经济型,￥151,448,213,135,62,18,20
2561683,锦江之星(厦门大学中山路店),经济型,￥189,768,290,308,97,23,12
4188836,青年阳光酒店(厦门火车站文灶店),经济型,￥148,235,142,63,17,5,8
6497829,迦南小栈,经济型,￥138,298,194,70,22,10,2
16722326,鼓浪屿蜜湾小屋旅馆,经济型,￥138,27,14,7,1,1,4
8010980,半岛壹号酒店(中山路轮渡店),经济型,￥108,424,226,103,66,16,13
5625752,听海小筑客栈,经济型,￥68,103,51,27,15,6,4
4685461,厦门鼓浪屿小白宫旅馆,经济型,￥258,84,42,19,10,3,10
6601790,燕子坞客栈,经济型,￥88,338,242,57,26,4,9
11570303,鼓浪屿77号花园度假别墅,经济型,￥138,39,22,7,7,2,1
18321594,和树21区创意酒店,经济型,￥128,61,23,21,11,2,4
58597751,鼓浪屿205别墅,经济型,￥148,19,16,0,1,0,2
17959433,如家快捷酒店(轮渡第一码头远洋...,经济型,￥151,110,59,32,12,1,6
17878395,愉家别苑度假屋(曾厝垵店),经济型,￥99,80,53,15,8,1,3
13924798,巴克拉概念酒店(禾祥西路店),经济型,￥188,93,59,17,7,3,7
5680581,厦门鼓浪屿小茉莉旅馆,经济型,￥328,87,45,23,7,8,4
23488631,全季酒店(厦门中山路步行街店),三星级/舒适型,￥369,202,115,53,24,3,7
13759485,前田青年旅舍,经济型,￥38,34,11,15,4,0,4
19145342,时光漫步音乐客栈,经济型,￥88,19,16,2,1,0,0
4540881,花之声旅馆,经济型,￥300,227,124,66,18,10,9
57395890,小肉松别墅(环岛路裴裴店),经济型,￥66,16,8,5,2,0,1
13754630,兰琴古厝庭院酒店,经济型,￥268,39,26,11,1,1,0
58088700,喜林阁度假旅馆(世界文化遗产店),三星级/舒适型,￥488,356,291,52,7,1,5
4132895,鼓浪屿中德记度假别墅,四星级/高档型,￥444,430,253,123,34,8,12
6061094,海滩墅院,经济型,￥260,22,10,10,0,2,0
22309574,度·四季海岸洒店,三星级/舒适型,￥88,16,10,6,0,0,0
6091946,厦门维洛拉大酒店(原维也纳酒店),四星级/高档型,￥238,110,54,34,12,3,7
3927124,鼓浪屿鑫雅琪·归墅,经济型,￥198,214,91,68,27,13,15
12590820,鼓浪屿复兴公馆,四星级/高档型,￥603,122,90,22,8,0,2
6310847,凤花阁主题客栈,经济型,￥128,36,20,10,5,0,1
21073063,海之星度假别苑(厦大店),经济型,￥58,57,32,19,5,0,1
5537259,鼓浪屿玫瑰小镇旅馆,经济型,￥108,139,86,36,13,3,1
69275465,厦门世茂双子塔私享海景酒店,经济型,￥528,24,21,2,1,0,0
20695547,鹭岛49号别墅(中山路店),三星级/舒适型,￥198,38,18,7,8,1,4
6586432,速8酒店(厦门光华大厦店),经济型,￥176,198,93,60,27,7,11
13772711,速8酒店(厦门思明南路厦大店),经济型,￥188,275,170,80,19,0,6
5528049,星空客栈,经济型,￥36,27,21,4,1,1,0
5270163,好望角客栈,经济型,￥69,147,87,43,14,2,1
13880246,悦蓝湾·庭岚坊客栈,经济型,￥172,24,12,9,1,1,1
58087165,花庭旅馆(厦门鼓浪屿安海花园店),经济型,￥208,140,54,39,32,3,7
18204102,厦门鼓浪屿六悦海景酒店,经济型,￥282,55,28,12,6,4,5
5744655,锦江之星(厦门火车站东浦路店),经济型,￥109,213,108,60,37,3,5
13729735,那些年,经济型,￥168,128,76,31,12,4,5
21278729,loft国际青年旅社,经济型,￥30,12,9,2,1,0,0
22240243,厦门中南湾假日酒店,四星级/高档型,￥167,42,19,10,8,2,3
19118886,秘密花园度假别墅(曾厝垵店),经济型,￥78,26,17,3,2,1,3
2093326,厦门时代雅居酒店,四星级/高档型,￥276,139,58,50,18,4,8
5386298,厦门威斯汀酒店,五星级/豪华型,￥1428,397,255,100,24,1,17
21655334,厦门希尔顿逸林酒店,五星级/豪华型,￥820,125,74,33,8,1,9
4285343,林氏府公馆酒店,四星级/高档型,￥1243,258,164,72,16,2,4
4740481,外婆的澎湖湾家庭旅馆,经济型,￥328,492,192,139,95,27,39
